,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
3377,flat,dlf new town heights,sector 90,1.9,6967.0,2727.0,Super Built up area 2727(253.35 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),4.0,4.0,3+,19.0,North-East,Relatively New,2727.0,,2300.0,0.0,1.0,1.0,0.0,0.0,1.0,174.0,681.75
3378,flat,chd avenue,sector 71,1.4,7946.0,1762.0,Carpet area: 1762 (163.7 sq.m.),3.0,3.0,2,1.0,South-East,Moderately Old,,,1762.0,0.0,0.0,0.0,1.0,0.0,1.0,125.0,587.3333333333334
3379,flat,eldeco accolade,sohna road,0.71,5608.0,1266.0,Super Built up area 1275(118.45 sq.m.),2.0,2.0,3,10.0,North-East,Relatively New,1275.0,,,0.0,0.0,0.0,0.0,0.0,0.0,159.0,633.0
3380,house,independent,sector 26,18.9,41833.0,4518.0,Plot area 502(419.74 sq.m.),6.0,8.0,2,3.0,North-East,Relatively New,,4518.0,,1.0,1.0,1.0,1.0,0.0,1.0,120.0,753.0
3381,flat,vatika gurgaon,sector 83,1.42,8875.0,1600.0,Super Built up area 2390(222.04 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4.0,4.0,3,7.0,South-West,Relatively New,2390.0,2000.0,1600.0,1.0,1.0,0.0,0.0,0.0,0.0,103.0,400.0
3382,house,vatika india next,sector 82,6.8,20988.0,3240.0,Plot area 360(301.01 sq.m.),4.0,4.0,3+,3.0,North-East,Relatively New,,3240.0,,0.0,1.0,0.0,0.0,0.0,2.0,110.0,810.0
3383,flat,bptp terra,sector 37d,1.55,8559.0,1811.0,Super Built up area 1811(168.25 sq.m.),3.0,3.0,3+,11.0,South,Relatively New,1811.0,,,0.0,0.0,0.0,0.0,0.0,0.0,79.0,603.6666666666666
3384,flat,vipul lavanya,sector 81,0.6,6667.0,900.0,Super Built up area 900(83.61 sq.m.),2.0,2.0,1,0.0,,Under Construction,900.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0
3385,flat,m3m woodshire,sector 107,1.02,6649.0,1534.0,Super Built up area 1534(142.51 sq.m.),2.0,2.0,3,6.0,North-East,Relatively New,1534.0,,,1.0,0.0,0.0,0.0,0.0,0.0,112.0,767.0
3386,flat,ashiana anmol,sohna road,0.88,11125.0,791.0,Super Built up area 1275(118.45 sq.m.)Carpet area: 791 sq.ft. (73.49 sq.m.),2.0,2.0,2,13.0,East,Relatively New,1275.0,,791.0,0.0,0.0,0.0,0.0,0.0,2.0,127.0,395.5
3387,flat,the pearl apartmen,sector 15,0.43,5584.0,770.0,Carpet area: 770 (71.54 sq.m.),2.0,2.0,1,2.0,,Relatively New,,,770.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,385.0
3388,flat,mvn athens,sohna road,0.27,5895.0,458.0,Carpet area: 457.81 (42.53 sq.m.),2.0,2.0,1,4.0,South-East,Relatively New,,,457.788667,0.0,0.0,0.0,0.0,1.0,1.0,35.0,229.0
3389,flat,godrej air,sector 85,1.4,10000.0,1400.0,Built Up area: 1400 (130.06 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2.0,2.0,3,23.0,,Undefined,,1400.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,700.0
3390,flat,orris aster court,sector 85,0.67,5826.0,1150.0,Super Built up area 1375(127.74 sq.m.)Built Up area: 1250 sq.ft. (116.13 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),2.0,2.0,2,5.0,North-West,Relatively New,1375.0,1250.0,1150.0,0.0,0.0,0.0,0.0,1.0,1.0,174.0,575.0
3391,flat,godrej,sector 79,2.01,8495.0,2366.0,Super Built up area 2366(219.81 sq.m.),3.0,4.0,3+,6.0,East,Relatively New,2366.0,,,0.0,1.0,0.0,0.0,0.0,0.0,158.0,788.6666666666666
3392,flat,raheja vedaanta,sector 108,0.65,4762.0,1365.0,Super Built up area 1365(126.81 sq.m.),2.0,2.0,2,5.0,East,Relatively New,1365.0,,,0.0,0.0,0.0,1.0,0.0,1.0,174.0,682.5
3393,flat,signature global park 4,sector 36,0.82,7586.0,1081.0,Carpet area: 1081 (100.43 sq.m.),3.0,2.0,3,2.0,,New Property,,,1081.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,360.3333333333333
3394,house,independent,sector 6,1.0,4630.0,2160.0,Built Up area: 240 (22.3 sq.m.),6.0,4.0,0,3.0,,Undefined,,240.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0
3395,flat,tata primanti,sector 72,3.21,16050.0,2000.0,Super Built up area 2185(202.99 sq.m.)Built Up area: 2140 sq.ft. (198.81 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3.0,4.0,3+,15.0,North-East,Relatively New,2185.0,2140.0,2000.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,666.6666666666666
3396,flat,signature global park 4,sector 36,0.82,7586.0,1081.0,Super Built up area 1081(100.43 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),3.0,2.0,2,2.0,,New Property,1081.0,,650.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,360.3333333333333
3397,flat,emaar palm heights,sector 77,1.75,11667.0,1500.0,Super Built up area 2025(188.13 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3.0,3.0,3+,11.0,South-West,Relatively New,2025.0,1900.0,1500.0,0.0,1.0,0.0,0.0,0.0,0.0,94.0,500.0
3398,flat,tulip violet,sector 69,1.36,8619.0,1578.0,Super Built up area 1578(146.6 sq.m.),3.0,3.0,2,12.0,West,Relatively New,1578.0,,,0.0,0.0,0.0,1.0,0.0,1.0,49.0,526.0
3399,flat,shree vardhman victoria,sector 70,1.6,8205.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3.0,3.0,3,10.0,South,Relatively New,1950.0,,1161.0,1.0,1.0,0.0,1.0,1.0,0.0,43.0,650.0
3400,flat,ss the leaf,sector 85,2.03,7229.0,2808.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2225 sq.ft. (206.71 sq.m.)Carpet area: 2175 sq.ft. (202.06 sq.m.),4.0,4.0,3+,3.0,North-East,Relatively New,2812.0,2225.0,2175.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,702.0
3401,flat,m3m skywalk,sector 74,1.48,12333.0,1200.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2.0,2.0,3,13.0,North-East,Relatively New,1400.0,1300.0,1200.0,0.0,0.0,1.0,0.0,0.0,0.0,158.0,600.0
3402,flat,hcbs sports ville,sohna road,0.2,4219.0,474.0,Built Up area: 473.99 (44.04 sq.m.),1.0,1.0,1,3.0,East,New Property,,474.042156,,0.0,0.0,0.0,0.0,0.0,0.0,71.0,474.0
3403,flat,4s aradhya homes,sector 67a,1.9,8862.0,2144.0,Super Built up area 2200(204.39 sq.m.),4.0,4.0,3,3.0,,New Property,2200.0,,,0.0,0.0,0.0,0.0,0.0,1.0,62.0,536.0
3404,flat,signature global city 37d ph 2,sector 37d,1.35,9375.0,1440.0,Carpet area: 1440 (133.78 sq.m.),3.0,3.0,3+,3.0,,Under Construction,,,1440.0,0.0,0.0,0.0,1.0,0.0,0.0,51.0,480.0
3405,flat,pivotal devaan,sector 84,0.36,7595.0,474.0,Super Built up area 583(54.16 sq.m.)Carpet area: 481 sq.ft. (44.69 sq.m.),2.0,2.0,1,9.0,West,Relatively New,583.0,,481.0,0.0,0.0,1.0,0.0,0.0,2.0,80.0,237.0
